id,titulo,autor,genero,anio_publicacion,editorial,idioma,paginas,disponible,cliente_prestamo,fecha_prestamo,fecha_limite
26,Libro 26,Autor 4161,Infantil,1991,Salamandra,Inglés,537,,,,
27,Libro 27,Autor 1158,Historia,2024,HarperCollins,Italiano,140,,,,
28,Libro 28,Autor 1286,Terror,2017,Salamandra,Español,854,,,,
29,Libro 29,Autor 3359,Ciencia,1950,Salamandra,Español,969,,,,
30,Libro 30,Autor 2298,Fantasía,1993,Salamandra,Francés,753,,,,
31,Libro 31,Autor 3973,Ciencia,1986,Salamandra,Español,774,,,,
32,Libro 32,Autor 3607,Infantil,1982,Planeta,Español,481,,,,
33,Libro 33,Autor 1404,Fantasía,1970,Planeta,Inglés,145,,,,
34,Libro 34,Autor 1970,Terror,1989,Salamandra,Inglés,122,,,,
35,Libro 35,Autor 1843,Infantil,2010,Alfaguara,Inglés,349,,,,
36,Libro 36,Autor 946,No ficción,1962,HarperCollins,Inglés,712,,,,
37,Libro 37,Autor 4754,Historia,1987,Planeta,Español,579,,,,
38,Libro 38,Autor 2941,Terror,1978,Anagrama,Inglés,781,,,,
39,Libro 39,Autor 1548,No ficción,2002,HarperCollins,Inglés,430,,,,
40,Libro 40,Autor 4814,Terror,2013,Salamandra,Alemán,617,,,,
41,Libro 41,Autor 460,Fantasía,1985,Salamandra,Italiano,355,,,,
42,Libro 42,Autor 3933,No ficción,1954,Penguin,Alemán,128,,,,
43,Libro 43,Autor 3119,Historia,1969,Penguin,Español,304,,,,
44,Libro 44,Autor 2161,Infantil,1960,HarperCollins,Inglés,748,,,,
45,Libro 45,Autor 866,Romance,2021,HarperCollins,Español,774,,,,
46,Libro 46,Autor 4696,Ciencia,1977,HarperCollins,Francés,879,,,,
47,Libro 47,Autor 965,Ficción,1998,Penguin,Español,987,,,,
48,Libro 48,Autor 4162,Historia,1990,Alfaguara,Alemán,249,,,,
49,Libro 49,Autor 3523,No ficción,1967,Salamandra,Alemán,155,,,,
50,Libro 50,Autor 2762,Romance,1979,Planeta,Italiano,341,,,,
51,Libro 51,Autor 597,Historia,1963,HarperCollins,Inglés,878,,,,
52,Libro 52,Autor 1654,No ficción,2005,Planeta,Alemán,946,,,,
53,Libro 53,Autor 4138,Misterio,2022,Anagrama,Alemán,946,,,,
54,Libro 54,Autor 3868,Misterio,2023,Planeta,Español,183,,,,
55,Libro 55,Autor 3553,Historia,2001,Planeta,Francés,658,,,,
56,Libro 56,Autor 4014,Misterio,2015,Anagrama,Inglés,637,,,,
57,Libro 57,Autor 4450,No ficción,2016,Anagrama,Italiano,766,,,,
58,Libro 58,Autor 820,No ficción,1978,Salamandra,Italiano,648,,,,
59,Libro 59,Autor 776,Historia,1976,HarperCollins,Francés,643,,,,
60,Libro 60,Autor 1965,Romance,2017,Salamandra,Francés,170,,,,
61,Libro 61,Autor 3718,Infantil,1984,Anagrama,Italiano,848,,,,
62,Libro 62,Autor 3695,Terror,1959,Anagrama,Francés,177,,,,
63,Libro 63,Autor 4103,Romance,1975,Penguin,Alemán,711,,,,
64,Libro 64,Autor 568,Fantasía,2020,Planeta,Alemán,959,,,,
65,Libro 65,Autor 1670,No ficción,2010,Alfaguara,Español,830,,,,
66,Libro 66,Autor 4703,Fantasía,2018,Salamandra,Español,879,,,,
67,Libro 67,Autor 3756,Romance,2005,Planeta,Español,240,,,,
68,Libro 68,Autor 4182,Terror,2013,Alfaguara,Francés,134,,,,
69,Libro 69,Autor 2906,Terror,1990,Anagrama,Italiano,805,,,,
70,Libro 70,Autor 3853,Ficción,1953,Salamandra,Inglés,782,,,,
71,Libro 71,Autor 3301,Terror,2015,Salamandra,Alemán,223,,,,
72,Libro 72,Autor 1195,Infantil,1986,Penguin,Italiano,799,,,,
73,Libro 73,Autor 2358,Terror,1983,Salamandra,Italiano,210,,,,
74,Libro 74,Autor 4225,Romance,1999,Planeta,Italiano,342,,,,
75,Libro 75,Autor 1681,Ficción,2019,Planeta,Italiano,991,,,,
76,Libro 76,Autor 2113,Romance,2024,Alfaguara,Francés,751,,,,
77,Libro 77,Autor 2797,Romance,1991,Salamandra,Alemán,399,,,,
78,Libro 78,Autor 1952,Ciencia,1950,HarperCollins,Italiano,281,,,,
79,Libro 79,Autor 3898,Ficción,1983,Salamandra,Inglés,976,,,,
80,Libro 80,Autor 3460,Romance,1959,Planeta,Italiano,725,,,,
81,Libro 81,Autor 1268,Ciencia,1954,Anagrama,Francés,753,,,,
82,Libro 82,Autor 4281,Ciencia,1993,Alfaguara,Francés,933,,,,
83,Libro 83,Autor 3419,Ficción,1968,Planeta,Inglés,766,,,,
84,Libro 84,Autor 30,Fantasía,1970,HarperCollins,Inglés,816,,,,
85,Libro 85,Autor 220,Infantil,1983,Planeta,Español,259,,,,
86,Libro 86,Autor 1466,Terror,1978,Salamandra,Español,978,,,,
87,Libro 87,Autor 4761,Infantil,1989,Alfaguara,Español,973,,,,
88,Libro 88,Autor 854,Terror,1967,HarperCollins,Alemán,495,,,,
89,Libro 89,Autor 1611,Romance,1998,Penguin,Español,418,,,,
90,Libro 90,Autor 2846,No ficción,2010,Planeta,Italiano,914,,,,
91,Libro 91,Autor 3493,Ficción,2014,HarperCollins,Español,451,,,,
92,Libro 92,Autor 2166,Infantil,2024,Anagrama,Francés,791,,,,
93,Libro 93,Autor 859,Infantil,1985,Alfaguara,Inglés,959,,,,
94,Libro 94,Autor 3702,Romance,2019,HarperCollins,Francés,434,,,,
95,Libro 95,Autor 3187,Fantasía,1956,Alfaguara,Inglés,861,,,,
96,Libro 96,Autor 2742,Ciencia,2010,Salamandra,Francés,262,,,,
97,Libro 97,Autor 3005,Romance,2013,Salamandra,Italiano,199,,,,
98,Libro 98,Autor 2426,Misterio,2023,Penguin,Francés,351,,,,
99,Libro 99,Autor 761,Ciencia,1979,Alfaguara,Inglés,512,,,,
100,Libro 100,Autor 2405,Ficción,1966,Penguin,Alemán,121,,,,
101,Libro 101,Autor 2165,Ciencia,1993,Salamandra,Inglés,275,,,,
102,Libro 102,Autor 3710,Fantasía,2021,Planeta,Inglés,781,,,,
103,Libro 103,Autor 1917,Ciencia,1975,Planeta,Inglés,287,,,,
104,Libro 104,Autor 4126,Ficción,1966,Planeta,Inglés,835,,,,
105,Libro 105,Autor 2261,Fantasía,1984,Anagrama,Francés,126,,,,
106,Libro 106,Autor 509,Infantil,1995,Planeta,Español,341,,,,
107,Libro 107,Autor 2849,Infantil,1954,Anagrama,Alemán,727,,,,
108,Libro 108,Autor 3827,Terror,1994,Anagrama,Español,705,,,,
109,Libro 109,Autor 4967,Ciencia,2024,Penguin,Francés,312,,,,
110,Libro 110,Autor 445,Infantil,1965,Planeta,Alemán,117,,,,
111,Libro 111,Autor 1617,Ficción,2007,Anagrama,Inglés,902,,,,
112,Libro 112,Autor 4794,Historia,1991,Alfaguara,Francés,667,,,,
113,Libro 113,Autor 3273,Historia,2009,Penguin,Español,775,,,,
114,Libro 114,Autor 3737,Fantasía,2005,Planeta,Español,547,,,,
115,Libro 115,Autor 3519,Infantil,1955,Salamandra,Alemán,444,,,,
116,Libro 116,Autor 231,Infantil,1969,Anagrama,Inglés,848,,,,
117,Libro 117,Autor 2569,Historia,1973,Anagrama,Alemán,944,,,,
118,Libro 118,Autor 1087,Infantil,2016,Penguin,Alemán,749,,,,
119,Libro 119,Autor 4483,Ciencia,2001,Penguin,Español,761,,,,
120,Libro 120,Autor 479,Misterio,1959,Penguin,Inglés,872,,,,
121,Libro 121,Autor 808,No ficción,1974,Salamandra,Italiano,739,,,,
122,Libro 122,Autor 1014,Terror,1994,Planeta,Inglés,495,,,,
123,Libro 123,Autor 1522,Fantasía,1950,Anagrama,Inglés,875,,,,
124,Libro 124,Autor 1391,Misterio,1974,Alfaguara,Español,754,,,,
125,Libro 125,Autor 3282,Historia,2022,Salamandra,Inglés,559,,,,
126,Libro 126,Autor 918,Infantil,1958,Alfaguara,Español,238,,,,
127,Libro 127,Autor 3486,Terror,1991,Alfaguara,Alemán,477,,,,
128,Libro 128,Autor 4806,Infantil,2012,Penguin,Francés,520,,,,
129,Libro 129,Autor 658,Ficción,1974,Penguin,Inglés,274,,,,
130,Libro 130,Autor 957,Ficción,1997,Salamandra,Italiano,235,,,,
131,Libro 131,Autor 1113,Terror,2004,Salamandra,Español,818,,,,
132,Libro 132,Autor 2546,Terror,2015,Penguin,Español,767,,,,
133,Libro 133,Autor 2454,Historia,1973,Planeta,Italiano,525,,,,
134,Libro 134,Autor 3574,Terror,1993,Salamandra,Alemán,876,,,,
135,Libro 135,Autor 3745,Ciencia,2005,Salamandra,Francés,381,,,,
136,Libro 136,Autor 3893,Infantil,1984,Anagrama,Francés,732,,,,
137,Libro 137,Autor 2031,Misterio,1983,Alfaguara,Inglés,277,,,,
138,Libro 138,Autor 1633,Romance,1955,Anagrama,Alemán,884,,,,
139,Libro 139,Autor 526,Terror,1998,Alfaguara,Alemán,856,,,,
140,Libro 140,Autor 352,Fantasía,1965,Anagrama,Español,644,,,,
141,Libro 141,Autor 3032,Ficción,1962,Penguin,Inglés,884,,,,
142,Libro 142,Autor 330,Ciencia,1961,Planeta,Italiano,954,,,,
143,Libro 143,Autor 3861,Romance,1960,Alfaguara,Alemán,805,,,,
144,Libro 144,Autor 1364,Misterio,1996,HarperCollins,Francés,461,,,,
145,Libro 145,Autor 2399,Romance,2009,Alfaguara,Alemán,629,,,,
146,Libro 146,Autor 2395,Terror,1998,Salamandra,Español,174,,,,
147,Libro 147,Autor 756,Historia,2001,Planeta,Alemán,626,,,,
148,Libro 148,Autor 3837,Ficción,2010,Anagrama,Italiano,161,,,,
149,Libro 149,Autor 1957,Ficción,1989,Alfaguara,Francés,385,,,,
150,Libro 150,Autor 4107,Historia,2020,Anagrama,Inglés,551,,,,
151,Libro 151,Autor 3277,Infantil,2024,Penguin,Inglés,739,,,,
152,Libro 152,Autor 4475,No ficción,2002,Planeta,Alemán,322,,,,
153,Libro 153,Autor 2413,Ciencia,2010,Planeta,Español,736,,,,
154,Libro 154,Autor 3943,Ficción,1971,Alfaguara,Inglés,606,,,,
155,Libro 155,Autor 4900,Fantasía,1987,Anagrama,Francés,772,,,,
156,Libro 156,Autor 10,Ficción,2010,HarperCollins,Español,418,,,,
157,Libro 157,Autor 4226,Romance,1996,Anagrama,Español,565,,,,
158,Libro 158,Autor 4618,Ficción,1976,Anagrama,Alemán,256,,,,
159,Libro 159,Autor 3606,Ficción,1967,Salamandra,Español,369,,,,
160,Libro 160,Autor 1116,No ficción,1969,Anagrama,Italiano,913,,,,
161,Libro 161,Autor 1823,No ficción,1991,Anagrama,Italiano,721,,,,
162,Libro 162,Autor 2080,Misterio,1990,Anagrama,Español,980,,,,
163,Libro 163,Autor 315,Infantil,2021,Salamandra,Alemán,439,,,,
164,Libro 164,Autor 777,Fantasía,2007,Alfaguara,Francés,336,,,,
165,Libro 165,Autor 1061,Ficción,1989,Alfaguara,Italiano,823,,,,
166,Libro 166,Autor 4586,Ficción,2024,HarperCollins,Inglés,714,,,,
167,Libro 167,Autor 3402,Ciencia,1979,Salamandra,Francés,611,,,,
168,Libro 168,Autor 1989,No ficción,1961,Planeta,Español,246,,,,
169,Libro 169,Autor 647,Fantasía,2011,Planeta,Español,731,,,,
170,Libro 170,Autor 1893,Misterio,2011,HarperCollins,Italiano,262,,,,
171,Libro 171,Autor 4571,Infantil,2019,Salamandra,Alemán,106,,,,
172,Libro 172,Autor 4878,Historia,1964,Salamandra,Alemán,764,,,,
173,Libro 173,Autor 4028,Infantil,1956,Anagrama,Francés,634,,,,
174,Libro 174,Autor 1549,Romance,1955,Penguin,Italiano,917,,,,
175,Libro 175,Autor 2268,Ficción,1976,Alfaguara,Inglés,652,,,,
176,Libro 176,Autor 3906,Misterio,1951,HarperCollins,Español,760,,,,
177,Libro 177,Autor 1817,Romance,1955,Planeta,Italiano,909,,,,
178,Libro 178,Autor 237,Fantasía,2010,Anagrama,Inglés,312,,,,
179,Libro 179,Autor 1133,Historia,1981,Anagrama,Español,307,,,,
180,Libro 180,Autor 2775,No ficción,1978,Salamandra,Alemán,250,,,,
181,Libro 181,Autor 2703,Misterio,2014,Anagrama,Francés,208,,,,
182,Libro 182,Autor 4194,Misterio,1964,Penguin,Inglés,728,,,,
183,Libro 183,Autor 3539,Ficción,1959,HarperCollins,Italiano,118,,,,
184,Libro 184,Autor 2684,Terror,1959,Alfaguara,Alemán,594,,,,
185,Libro 185,Autor 3331,Misterio,1959,Alfaguara,Italiano,163,,,,
186,Libro 186,Autor 4504,Ciencia,1986,Alfaguara,Francés,363,,,,
187,Libro 187,Autor 1078,Historia,1981,Anagrama,Francés,907,,,,
188,Libro 188,Autor 862,Historia,1985,Planeta,Inglés,273,,,,
189,Libro 189,Autor 3640,Ciencia,2013,Anagrama,Francés,871,,,,
190,Libro 190,Autor 2111,Ciencia,1964,Anagrama,Francés,643,,,,
191,Libro 191,Autor 2026,Ciencia,2022,Salamandra,Italiano,821,,,,
192,Libro 192,Autor 2564,Historia,1965,Salamandra,Inglés,920,,,,
193,Libro 193,Autor 4296,Infantil,1995,Penguin,Francés,503,,,,
194,Libro 194,Autor 3727,Historia,1993,Anagrama,Español,175,,,,
195,Libro 195,Autor 3722,Terror,1984,Anagrama,Alemán,205,,,,
196,Libro 196,Autor 2178,Ficción,2000,Penguin,Francés,323,,,,
197,Libro 197,Autor 2530,Romance,2007,Anagrama,Francés,420,,,,
198,Libro 198,Autor 2297,Infantil,1954,HarperCollins,Francés,666,,,,
199,Libro 199,Autor 404,No ficción,1987,HarperCollins,Alemán,123,,,,
200,Libro 200,Autor 4638,Romance,1955,HarperCollins,Italiano,433,,,,
201,Libro 201,Autor 2516,Ficción,2000,Penguin,Inglés,756,,,,
202,Libro 202,Autor 2256,Terror,1963,Salamandra,Inglés,147,,,,
203,Libro 203,Autor 2948,Terror,1997,Alfaguara,Inglés,945,,,,
204,Libro 204,Autor 1694,No ficción,1961,HarperCollins,Inglés,321,,,,
205,Libro 205,Autor 303,Infantil,2001,Planeta,Inglés,221,,,,
206,Libro 206,Autor 4457,Ciencia,2017,Salamandra,Español,876,,,,
207,Libro 207,Autor 4163,Infantil,2008,Planeta,Italiano,797,,,,
208,Libro 208,Autor 1158,Terror,1967,Anagrama,Italiano,733,,,,
209,Libro 209,Autor 4365,Historia,2002,Salamandra,Francés,158,,,,
210,Libro 210,Autor 2524,Ficción,1980,Alfaguara,Alemán,522,,,,
211,Libro 211,Autor 1772,No ficción,1984,Anagrama,Inglés,557,,,,
212,Libro 212,Autor 682,Ficción,1953,Salamandra,Inglés,801,,,,
213,Libro 213,Autor 1110,Fantasía,1958,HarperCollins,Italiano,461,,,,
214,Libro 214,Autor 349,Fantasía,1964,Planeta,Italiano,532,,,,
215,Libro 215,Autor 1870,Infantil,1991,Penguin,Alemán,620,,,,
216,Libro 216,Autor 4837,Terror,2008,Alfaguara,Alemán,127,,,,
217,Libro 217,Autor 1987,Terror,2022,Anagrama,Alemán,943,,,,
218,Libro 218,Autor 468,Ciencia,1981,Salamandra,Inglés,142,,,,
219,Libro 219,Autor 3148,Ciencia,1994,Planeta,Italiano,397,,,,
220,Libro 220,Autor 4567,Ciencia,1954,HarperCollins,Español,321,,,,
221,Libro 221,Autor 4273,Historia,1980,HarperCollins,Alemán,328,,,,
222,Libro 222,Autor 3385,Romance,1974,Alfaguara,Alemán,931,,,,
223,Libro 223,Autor 813,Misterio,2005,Anagrama,Italiano,115,,,,
224,Libro 224,Autor 1925,Romance,1950,HarperCollins,Español,183,,,,
225,Libro 225,Autor 2107,Ficción,2010,Planeta,Inglés,669,,,,
226,Libro 226,Autor 4151,Romance,2016,Anagrama,Inglés,740,,,,
227,Libro 227,Autor 967,Historia,2016,Planeta,Español,981,,,,
228,Libro 228,Autor 744,Ficción,1991,HarperCollins,Inglés,530,,,,
229,Libro 229,Autor 1956,Romance,2008,Planeta,Inglés,683,,,,
230,Libro 230,Autor 4050,Historia,1999,HarperCollins,Alemán,372,,,,
231,Libro 231,Autor 4425,Misterio,1983,Penguin,Francés,807,,,,
232,Libro 232,Autor 1197,Romance,2017,Anagrama,Italiano,664,,,,
233,Libro 233,Autor 2417,Historia,2003,Planeta,Alemán,510,,,,
234,Libro 234,Autor 4606,Ciencia,1963,Anagrama,Italiano,876,,,,
235,Libro 235,Autor 2328,Terror,1981,Planeta,Francés,295,,,,
236,Libro 236,Autor 4140,Ciencia,2019,HarperCollins,Italiano,228,,,,
237,Libro 237,Autor 610,Terror,1957,HarperCollins,Español,851,,,,
238,Libro 238,Autor 3949,No ficción,1984,Penguin,Alemán,294,,,,
239,Libro 239,Autor 1284,No ficción,1973,Planeta,Alemán,944,,,,
240,Libro 240,Autor 3026,No ficción,1952,Penguin,Francés,183,,,,
241,Libro 241,Autor 1257,Misterio,1985,Planeta,Español,431,,,,
242,Libro 242,Autor 4475,Ciencia,2000,Penguin,Inglés,156,,,,
243,Libro 243,Autor 3561,Terror,2006,Anagrama,Francés,282,,,,
244,Libro 244,Autor 1443,Historia,2008,Salamandra,Italiano,437,,,,
245,Libro 245,Autor 1408,Ficción,1971,HarperCollins,Francés,743,,,,
246,Libro 246,Autor 4458,Historia,1986,Planeta,Español,312,,,,
247,Libro 247,Autor 472,Ficción,2024,Alfaguara,Alemán,995,,,,
248,Libro 248,Autor 1182,Fantasía,1961,Alfaguara,Italiano,395,,,,
249,Libro 249,Autor 2370,Historia,1970,HarperCollins,Inglés,771,,,,
250,Libro 250,Autor 2219,Romance,1964,Alfaguara,Inglés,814,,,,
251,Libro 251,Autor 2248,Romance,1961,Alfaguara,Inglés,339,,,,
252,Libro 252,Autor 2645,Infantil,2005,Alfaguara,Español,137,,,,
253,Libro 253,Autor 2764,Ciencia,1965,Penguin,Alemán,765,,,,
254,Libro 254,Autor 155,Ficción,1982,Penguin,Alemán,679,,,,
255,Libro 255,Autor 3895,Ficción,1992,Planeta,Francés,811,,,,
256,Libro 256,Autor 452,Ciencia,1998,Salamandra,Español,914,,,,
257,Libro 257,Autor 3291,Misterio,1967,Penguin,Español,381,,,,
258,Libro 258,Autor 684,Infantil,1965,Anagrama,Italiano,524,,,,
259,Libro 259,Autor 4908,Misterio,1989,Planeta,Inglés,534,,,,
260,Libro 260,Autor 3646,Misterio,2016,Alfaguara,Inglés,777,,,,
261,Libro 261,Autor 1791,Misterio,2011,Alfaguara,Francés,884,,,,
262,Libro 262,Autor 1378,Ciencia,1976,HarperCollins,Inglés,105,,,,
263,Libro 263,Autor 349,Misterio,1963,Planeta,Inglés,732,,,,
264,Libro 264,Autor 150,Romance,2015,Alfaguara,Inglés,817,,,,
265,Libro 265,Autor 3017,No ficción,1976,Penguin,Alemán,300,,,,
266,Libro 266,Autor 73,Fantasía,2003,Alfaguara,Francés,412,,,,
267,Libro 267,Autor 1785,Ficción,2009,Alfaguara,Inglés,734,,,,
268,Libro 268,Autor 2393,Ficción,1989,HarperCollins,Español,214,,,,
269,Libro 269,Autor 1280,Fantasía,1994,Alfaguara,Español,969,,,,
270,Libro 270,Autor 2209,Ciencia,2017,Anagrama,Español,870,,,,
271,Libro 271,Autor 2763,Historia,2017,Anagrama,Italiano,276,,,,
272,Libro 272,Autor 4431,Ciencia,2012,Alfaguara,Español,996,,,,
273,Libro 273,Autor 4615,Ficción,1989,Alfaguara,Inglés,925,,,,
274,Libro 274,Autor 3591,Ficción,1990,Anagrama,Español,686,,,,
275,Libro 275,Autor 1,Fantasía,2010,Penguin,Español,201,,,,
276,Libro 276,Autor 2549,Misterio,2014,Planeta,Francés,798,,,,
277,Libro 277,Autor 1168,Ciencia,1950,Anagrama,Italiano,185,,,,
278,Libro 278,Autor 3307,Terror,1958,HarperCollins,Inglés,906,,,,
279,Libro 279,Autor 1107,Fantasía,2024,Anagrama,Alemán,652,,,,
280,Libro 280,Autor 3836,Romance,1964,Planeta,Inglés,673,,,,
281,Libro 281,Autor 1374,Ficción,2008,Anagrama,Francés,769,,,,
282,Libro 282,Autor 4712,Fantasía,2015,Salamandra,Inglés,236,,,,
283,Libro 283,Autor 1371,Ciencia,1959,Planeta,Inglés,311,,,,
284,Libro 284,Autor 370,Ficción,1998,Penguin,Alemán,730,,,,
285,Libro 285,Autor 2541,Historia,1960,Penguin,Francés,295,,,,
286,Libro 286,Autor 3654,Fantasía,1979,Alfaguara,Francés,778,,,,
287,Libro 287,Autor 3170,Infantil,1972,Penguin,Inglés,610,,,,
288,Libro 288,Autor 191,Ficción,1971,Anagrama,Inglés,686,,,,
289,Libro 289,Autor 107,Ciencia,2000,HarperCollins,Italiano,814,,,,
290,Libro 290,Autor 4117,No ficción,1991,Anagrama,Alemán,335,,,,
291,Libro 291,Autor 878,Terror,1978,Penguin,Español,763,,,,
292,Libro 292,Autor 2468,Misterio,1994,HarperCollins,Español,491,,,,
293,Libro 293,Autor 1050,Ciencia,1982,Penguin,Italiano,273,,,,
294,Libro 294,Autor 4813,Romance,1988,Planeta,Español,984,,,,
295,Libro 295,Autor 4662,Romance,2022,Anagrama,Francés,833,,,,
296,Libro 296,Autor 1908,No ficción,2014,HarperCollins,Inglés,391,,,,
297,Libro 297,Autor 583,Misterio,1999,Salamandra,Español,957,,,,
298,Libro 298,Autor 347,Infantil,1997,Alfaguara,Inglés,322,,,,
299,Libro 299,Autor 4216,No ficción,1986,HarperCollins,Alemán,229,,,,
300,Libro 300,Autor 1676,No ficción,1982,HarperCollins,Italiano,437,,,,
301,Libro 301,Autor 2971,Ficción,1955,Salamandra,Inglés,881,,,,
302,Libro 302,Autor 1663,Romance,2019,Salamandra,Francés,911,,,,
303,Libro 303,Autor 3886,Ficción,2004,HarperCollins,Francés,431,,,,
304,Libro 304,Autor 2257,Terror,1993,Alfaguara,Alemán,414,,,,
305,Libro 305,Autor 3513,Misterio,1999,HarperCollins,Inglés,902,,,,
306,Libro 306,Autor 1017,Infantil,2003,Anagrama,Italiano,670,,,,
307,Libro 307,Autor 4399,Infantil,2012,HarperCollins,Italiano,222,,,,
308,Libro 308,Autor 186,Ciencia,1965,Penguin,Italiano,418,,,,
309,Libro 309,Autor 2369,No ficción,1996,HarperCollins,Francés,516,,,,
310,Libro 310,Autor 621,Terror,2006,HarperCollins,Francés,951,,,,
311,Libro 311,Autor 2363,Romance,1951,Alfaguara,Alemán,575,,,,
312,Libro 312,Autor 3565,Infantil,1986,Planeta,Francés,658,,,,
313,Libro 313,Autor 3337,Terror,1972,Alfaguara,Español,236,,,,
314,Libro 314,Autor 2612,Historia,1962,Alfaguara,Español,893,,,,
315,Libro 315,Autor 3565,Historia,2014,HarperCollins,Italiano,226,,,,
316,Libro 316,Autor 3866,Ficción,1997,Salamandra,Alemán,467,,,,
317,Libro 317,Autor 1990,Romance,1956,Planeta,Italiano,344,,,,
318,Libro 318,Autor 2443,Ciencia,1980,Alfaguara,Italiano,413,,,,
319,Libro 319,Autor 26,Infantil,2012,Penguin,Francés,178,,,,
320,Libro 320,Autor 929,No ficción,1994,Planeta,Español,911,,,,
321,Libro 321,Autor 2157,No ficción,2005,Salamandra,Alemán,781,,,,
322,Libro 322,Autor 2917,Infantil,2013,Alfaguara,Español,336,,,,
323,Libro 323,Autor 2523,Misterio,1971,HarperCollins,Francés,503,,,,
324,Libro 324,Autor 3970,Ciencia,2012,Salamandra,Francés,106,,,,
325,Libro 325,Autor 648,Terror,1977,Penguin,Inglés,722,,,,
326,Libro 326,Autor 201,Misterio,1993,Salamandra,Francés,443,,,,
327,Libro 327,Autor 2919,Misterio,1963,Planeta,Francés,952,,,,
328,Libro 328,Autor 3867,Ficción,1968,Salamandra,Español,111,,,,
329,Libro 329,Autor 2302,Historia,2009,Penguin,Alemán,751,,,,
330,Libro 330,Autor 107,Misterio,1951,Anagrama,Español,202,,,,
331,Libro 331,Autor 4610,Misterio,2000,Alfaguara,Español,513,,,,
332,Libro 332,Autor 313,Fantasía,1983,HarperCollins,Inglés,622,,,,
333,Libro 333,Autor 1724,Ficción,2000,Salamandra,Español,922,,,,
334,Libro 334,Autor 122,Romance,1968,Salamandra,Alemán,487,,,,
335,Libro 335,Autor 2752,Fantasía,1985,Anagrama,Alemán,847,,,,
336,Libro 336,Autor 1623,Fantasía,1975,HarperCollins,Inglés,578,,,,
337,Libro 337,Autor 4289,Infantil,1984,Alfaguara,Español,359,,,,
338,Libro 338,Autor 3778,Historia,2012,Salamandra,Francés,588,,,,
339,Libro 339,Autor 1749,Misterio,1953,Anagrama,Francés,735,,,,
340,Libro 340,Autor 3189,Historia,1952,Planeta,Francés,332,,,,
341,Libro 341,Autor 2621,Ciencia,1954,Anagrama,Alemán,345,,,,
342,Libro 342,Autor 2407,Infantil,1978,Salamandra,Francés,853,,,,
343,Libro 343,Autor 4435,Romance,1968,Salamandra,Alemán,977,,,,
344,Libro 344,Autor 3721,Historia,1966,Planeta,Italiano,584,,,,
345,Libro 345,Autor 3686,No ficción,1983,Planeta,Inglés,658,,,,
346,Libro 346,Autor 659,Ciencia,1969,HarperCollins,Italiano,286,,,,
347,Libro 347,Autor 2935,Ficción,1977,Penguin,Español,133,,,,
348,Libro 348,Autor 378,Romance,2022,Penguin,Francés,814,,,,
349,Libro 349,Autor 4542,Ciencia,2016,Salamandra,Alemán,784,,,,
350,Libro 350,Autor 1482,Infantil,1959,Planeta,Alemán,513,,,,
351,Libro 351,Autor 278,Fantasía,1970,Alfaguara,Alemán,733,,,,
352,Libro 352,Autor 2170,Fantasía,1953,Penguin,Inglés,318,,,,
353,Libro 353,Autor 2615,Infantil,1971,Penguin,Español,461,,,,
354,Libro 354,Autor 1650,Terror,2020,Alfaguara,Inglés,443,,,,
